RA Decl
05:53:13.57 -70:52:24.3
05:53:39.01 -68:16:54.8
05:53:57.03 -68:19:58.0
05:53:59.83 -64:17:11.4
05:56:35.10 -70:12:23.5
06:02:46.88 -68:53:48.8
06:02:48.71 -70:20:21.4
06:03:03.30 -70:01:20.7
06:03:09.03 -72:29:38.6
06:04:20.32 -69:15:21.8
06:08:59.79 -72:57:29.8
06:09:00.86 -72:21:01.8
06:10:27.77 -71:03:21.9
06:15:35.36 -69:07:59.6
06:15:41.86 -69:29:24.2
06:20:21.34 -70:29:44.6
00:22:01.64 -74:32:32.7
00:33:56.89 -73:43:40.8
00:41:56.23 -72:56:10.7
00:44:17.74 -73:03:42.4
00:44:46.60 -73:17:09.7
00:45:25.85 -72:52:45.2
00:47:16.00 -73:14:40.6
00:47:57.10 -73:51:19.1
00:48:02.88 -73:24:43.4
00:48:15.96 -73:06:36.1
00:49:02.76 -73:12:56.3
00:49:40.56 -73:00:22.9
00:50:14.38 -72:47:20.0
00:50:15.77 -73:28:00.7
00:50:41.80 -73:00:10.4
00:50:52.58 -73:10:28.2
00:51:07.69 -72:51:16.2
00:51:12.00 -72:26:34.8
00:51:42.50 -73:03:45.1
00:53:23.45 -73:45:21.7
00:53:48.73 -73:00:31.8
00:54:16.83 -72:21:55.0
00:54:42.68 -72:54:00.2
00:55:44.43 -72:18:22.4
00:56:25.81 -72:22:15.1
00:57:05.71 -72:33:50.7
00:57:16.84 -73:04:40.8
00:57:20.28 -72:59:21.8
00:57:20.51 -73:15:07.8
00:59:17.22 -71:48:08.3
01:00:16.09 -73:40:22.7
01:00:28.15 -73:03:07.3
01:00:30.25 -72:00:05.2
01:00:52.96 -73:39:59.3
01:08:01.97 -72:19:25.5
01:10:17.61 -71:47:56.5
01:10:42.43 -73:19:36.2
01:12:32.46 -71:22:18.8
01:17:51.91 -71:59:18.5
01:21:57.25 -73:00:16.0
