ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_av_err,sed_radius,sed_radius_err,sed_teff,sed_teff_err,sed_logg,sed_logg_err,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0165,RG,05:16:22.30,-69:02:37.0,15.748,17.313,1.565,514.41,9298.0,0.036,0.437,63.3,161.9,1,LMC,49970.0,0.1404551257437632,0.42554968199316867,53.32304176306951,1.571023561527667,4060.4539446411045,220.0491846597619,0.49237850382551274,0.3543776835495432,-0.7,-0.008572422604509211,2.0012660832037326,0.20249999999999999,0.0,0.5355,701.6927206261353
OGLE-LMC-HB-0166,RG,05:16:25.23,-67:53:01.8,15.931,17.402,1.471,482.86,9287.8,0.03,0.513,65.7,65.6,1,LMC,49970.0,0.4837499999793578,0.36234911260720437,49.78742722297263,1.4529434631556502,4375.599152162272,228.85177682343556,2.17069999995674,1.0951521608191774,-0.7,0.005160967521376075,2.306428372505007,0.27225,0.0,0.48375,824.9132359307982
OGLE-LMC-HB-0167,MS,05:16:25.41,-69:28:55.2,15.065,15.312,0.247,242.67,9056.6,0.038,0.152,21.32,22.3,0,LMC,49970.0,0.14320275769057927,0.16037652831559832,12.32476268006444,1.047966650975027,14000.000031737847,2254.287631803496,1.485873957621103,365745.9506304074,-0.7,0.13355244993307333,1.5113316453456158,0.11925,0.0,0.46575,5297.708552231497
OGLE-LMC-HB-0168,RG,05:16:26.75,-67:38:55.1,15.371,17.11,1.739,495.61,9216.1,0.046,0.378,89.0,102.9,1,LMC,49970.0,0.3493641815104135,0.48458996171050117,79.59800338362258,2.0724776657298203,3950.804272385169,203.8417460321984,1.6083274924657782,0.7307345109531327,-0.7,0.003156717026915153,1.7361328907715619,0.21825,0.006750000000000006,0.39825,1401.4099351526406
OGLE-LMC-HB-0169,RG,05:16:28.67,-69:31:25.8,15.916,17.361,1.445,237.808,9095.7,0.029,0.269,49.0,178.1,1,LMC,49970.0,0.37575,0.39041552151487313,45.45289897361467,1.3590492296102619,4419.182553326219,245.45079359508333,2.2328999999999994,1.1300423774638761,-0.7,-0.004464640354642091,4.404088533618013,0.09225,0.0,0.37575000000000003,715.3354193789997
OGLE-LMC-HB-0170,RG,05:16:28.67,-68:59:27.9,15.644,17.288,1.644,413.19,9189.3,0.035,0.299,67.9,64.7,1,LMC,49970.0,0.42077101801088845,0.4027657663795781,56.56512362008895,1.6864496379216556,4071.356756459704,211.7889883078791,0.726874545419605,0.4634928177826103,-0.7,0.0005333014136942524,1.7584530440770851,0.20475,0.0,0.59175,798.1286560598517
OGLE-LMC-HB-0171,RG,05:16:37.78,-69:30:39.5,14.203,15.642,1.439,468.38,9173.1,0.025,0.412,83.2,85.3,1,LMC,49970.0,2.137576296124612e-18,0.3073291022565237,103.90773738739972,2.8380968877495247,4097.193441356485,163.1342541115042,0.007340060585344142,0.3644031509881067,-0.7,0.002732329885193765,0.6048918096644353,0.126,0.0,0.4725,2762.2338071688387
OGLE-LMC-HB-0172,RG,05:16:51.00,-69:10:47.4,15.205,16.9,1.695,421.701,9329.1,0.049,0.2682,61.4,104.0,1,LMC,49970.0,0.4901279990218648,0.44161737658310096,76.4252593864336,2.1967843229102684,4035.998357183124,232.28113932700424,1.8699999999582868,0.8431097222984567,-0.7,0.020810067063475324,1.5181580547507554,0.216,0.0,0.5535,1407.0079481131627
OGLE-LMC-HB-0173,RG,05:16:52.92,-69:00:50.4,15.945,17.496,1.551,277.49,9052.7,0.039,0.1061,50.4,30.2,1,LMC,49970.0,0.5647499999990558,0.39687145354286724,50.01431681265076,1.33362783937351,4239.304041731099,204.7429264605712,2.1518999999936277,1.3222939525393143,-0.7,0.020509021589908766,3.187302850674089,0.23174999999999998,0.0,0.56475,733.4756945749349
OGLE-LMC-HB-0174,RG,05:17:00.94,-69:57:47.7,16.193,17.712,1.519,328.43,9312.3,0.023,0.255,64.9,113.2,1,LMC,49970.0,0.5006909295772068,0.5518818094026836,45.74783205456104,1.629880611576818,4292.087347567086,344.8982765456383,2.2460999999999998,1.3783539998865113,-0.7,0.007294993311190001,2.1351249837389643,0.378,0.03600000000000003,0.7919999999999999,644.8133606620393
OGLE-LMC-HB-0175,RG,05:17:11.89,-68:10:17.8,15.425,17.105,1.68,546.06,9252.7,0.025,0.388,69.4,0.3,1,LMC,49970.0,0.5422499999999486,0.3687828798648843,73.92264249569607,2.1856987483997763,4149.223824442199,197.3486857594221,0.9358624233582358,0.45672830503981204,-0.7,-0.00018646078806309517,2.0736595261253057,0.26325000000000004,0.03375000000000003,0.54225,1470.4193279444935
OGLE-LMC-HB-0176,RG,05:17:15.36,-69:26:01.9,16.183,17.39,1.207,207.507,9106.6,0.025,0.137,88.8,124.5,1,LMC,49970.0,0.2888787229025698,0.4220218899668305,34.50003486194074,1.179225740535238,4626.454241248821,312.36180929603046,2.4253999999999993,1.3118031549483438,-0.7,0.041994830456126155,2.3764174596679313,0.21375,0.0,0.54675,495.0521339413014
OGLE-LMC-HB-0177,RG,05:17:16.42,-70:37:34.4,15.344,17.033,1.689,613.02,9121.4,0.053,0.386,76.3,60.8,1,LMC,49970.0,0.33299999998919616,0.474756710035066,78.786699455202,2.0440512790323013,3989.690027284854,199.40942719533783,1.8355999999622459,0.7293267895709199,-0.7,0.002997245153281315,2.067393901019097,0.19349999999999998,0.0315,0.33299999999999996,1427.8455098052461
OGLE-LMC-HB-0178,RG,05:17:18.58,-70:33:24.1,15.765,17.267,1.502,313.41,9177.1,0.024,0.325,55.5,135.0,1,LMC,49970.0,0.20463134670710614,0.41323099237379546,60.430753840417395,1.573726148132179,4051.1509433514334,213.87615379284424,2.007299999999988,1.308773411637749,-0.7,-0.06989308674084381,1.1902932017970245,0.18,0.0,0.40049999999999997,892.9939337088889
OGLE-LMC-HB-0179,RG,05:17:18.82,-70:37:08.5,15.126,16.635,1.509,469.9,9036.8,0.03,0.333,65.5,63.2,1,LMC,49970.0,0.36449999999934213,0.36445208975496884,77.73978210034714,2.166019616620761,4185.630640661262,195.3743999515766,1.8665999999905245,0.784713766568045,-0.7,0.006435740377804044,1.5500206705397237,0.207,0.017999999999999985,0.3645,1684.0269175203496
OGLE-LMC-HB-0180,RG,05:17:24.62,-67:01:49.0,16.338,17.613,1.275,247.08,9109.1,0.045,0.432,72.2,52.4,0,LMC,49970.0,0.4792499999999937,0.4641394355351553,34.07362871668057,1.4962820441046911,4840.288798685277,404.28107568476884,2.4567999999999994,1.4226239179787792,-0.7,0.01960573212172511,2.534636639385535,0.27675,0.09224999999999998,0.47925,578.5496801593486
OGLE-LMC-HB-0181,RG,05:17:30.16,-69:31:03.6,15.381,17.128,1.747,462.72,9242.2,0.033,0.1327,55.9,43.3,1,LMC,49970.0,0.49724999999999736,0.6936909884125941,73.83979923831718,2.080781301484963,3928.8417778127796,283.12874790640086,1.8737999999998962,0.991709405919749,-0.7,0.011719615044541557,3.4279689657079735,0.17775,0.0,0.49724999999999997,1179.3913992337414
OGLE-LMC-HB-0182,RG,05:17:38.08,-69:48:48.4,15.467,17.036,1.569,297.179,9037.2,0.054,0.3188,68.9,145.5,1,LMC,49970.0,0.5782499999999999,0.37212057623882083,60.690417503232865,1.819031319524082,4278.958044565599,235.98302523773702,2.0347999999999997,1.1117343179532375,-0.7,-0.006927628524512916,2.2203265445825213,0.23174999999999998,0.0,0.57825,1121.0142878608674
