ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_radius,sed_teff,sed_logg,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0186,MS,05:17:45.07,-69:43:16.7,14.136,14.044,-0.092,12.64554,9008.827,0.018,0.482,35.3,131.3,1,LMC,49970.00000197258,0.07180617983660141,15.886352886311055,18999.999809098823,2.005458061032471,-0.7,0.0022311241606529936,0.6157680696092819,0.15750000000000003,0.0,0.5085000000000001,29859.4347369954
OGLE-LMC-HB-0187,RG,05:17:46.33,-69:29:09.2,15.233,16.897,1.664,458.976,9235.8,0.059,0.3264,56.5,100.7,1,LMC,49970.000117300624,0.6974999999975443,72.54984696125636,4182.670907357245,1.9188999998432341,-0.7,-0.004451932266333039,0.972788488298723,0.207,0.0,0.6975,1462.536012405448
OGLE-LMC-HB-0188,RG,05:18:10.17,-70:21:11.9,15.538,17.213,1.675,392.975,9295.4,0.057,0.3166,59.1,25.9,1,LMC,49970.00046496767,0.4299154812497259,70.55276586622945,4015.3875602774697,0.8735730593185639,-0.7,-0.011959456296185377,1.3205471309888157,0.28800000000000003,0.004500000000000004,0.5715,1174.7805554211254
OGLE-LMC-HB-0189,RG,05:18:14.67,-70:37:51.4,16.133,17.6,1.467,276.3,9221.2,0.03,0.272,58.2,114.6,1,LMC,49969.99998786379,0.41013740010691835,47.29126059618651,4250.01147828177,2.1944999999993744,-0.7,0.00845650555389438,1.0964929162044115,0.23174999999999998,0.0,0.50625,662.4315035119306
OGLE-LMC-HB-0190,RG,05:18:15.62,-70:07:16.7,15.871,17.357,1.486,269.916,9072.0,0.057,0.2999,89.1,141.5,1,LMC,49970.00060970583,0.5309999999957747,51.36189254498541,4371.34635563705,2.1491999999982117,-0.7,-0.00623442623120125,2.8155997072008665,0.2565,0.0,0.5309999999999999,874.503786316738
OGLE-LMC-HB-0191,RG,05:18:18.74,-69:07:51.2,15.566,17.32,1.754,462.61,9094.4,0.028,0.176,67.8,67.3,1,LMC,49970.00081581064,0.5797252357923499,71.04076541043055,4042.145517979804,1.9261999999936634,-0.7,0.00926489442149668,2.1992195377939217,0.27225,0.0,0.68625,1223.15593053559
OGLE-LMC-HB-0192,RG,05:18:19.06,-70:17:42.6,15.768,17.222,1.454,795.53,9549.9,0.024,0.559,68.0,72.5,1,LMC,49970.000371495626,0.11414896488160782,51.217577520458285,4239.4365105362285,1.8195603743670345,-0.7,0.004617307359436141,3.183746883848063,0.31949999999999995,0.03599999999999997,0.5625,769.2887730960103
OGLE-LMC-HB-0193,RG,05:18:34.47,-69:45:33.0,15.609,16.96,1.351,279.616,9116.6,0.045,0.2272,63.1,16.0,1,LMC,49969.999273626476,1.482157786769042e-16,50.84771696851831,4122.922385604155,1.6891123611999952,-0.7,0.008563362458782463,0.7508956479436953,0.17325,0.0,0.50625,678.2383427845506
OGLE-LMC-HB-0194,MS,05:18:39.70,-69:32:35.6,15.515,15.412,-0.103,11.95267,9005.88,0.025,0.511,31.7,5.0,0,LMC,49970.000002952234,0.38665528106518887,9.525655248594997,18965.281406396774,1.2891254982872429,-0.7,-0.0034454576493025027,2.2138058386131227,0.22725,0.0,0.61875,10657.262631381584
OGLE-LMC-HB-0195,RG,05:18:49.01,-69:38:19.3,15.664,17.466,1.802,530.79,9130.3,0.036,0.3339,63.8,177.7,1,LMC,49969.99904952791,0.7492499999998014,74.98172182982393,3888.400538684997,1.8615999999999797,-0.7,0.006280695476901917,2.439951670398885,0.25875000000000004,0.0,0.7492500000000001,1166.846106478995
