# Date:     2023-05-07 18:47:20
# Database: ocvs
# Target:   all_hb
# Query:    P>=0 
# Objects:  991
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model
OGLE-BLG-HB-0052	RG	17:44:34.43	-33:21:45.0	15.252	19.107	3.855	372.31900000	9117.6000	0.069	0.1560	64.00	142.20	1
OGLE-BLG-HB-0053	RG	17:44:46.97	-21:41:10.3	13.824	16.121	2.297	385.56000000	9084.2000	0.028	0.4030	88.10	65.70	1
OGLE-BLG-HB-0054	RG	17:44:52.32	-35:30:25.4	14.138	16.299	2.161	182.22400000	9046.6000	0.022	0.0552	40.70	22.60	1
OGLE-BLG-HB-0055	RG	17:45:03.28	-33:38:38.0	14.213	17.461	3.248	272.62100000	9164.4000	0.030	0.2259	89.80	40.70	1
OGLE-BLG-HB-0056	RG	17:45:07.68	-33:43:12.3	14.529	17.163	2.634	212.29100000	9044.5000	0.022	0.1306	62.70	93.10	1
OGLE-BLG-HB-0057	RG	17:45:10.46	-24:58:06.6	15.489	25.489	10.000	545.85300000	9367.4000	0.326	0.2011	67.55	96.08	0
OGLE-BLG-HB-0058	RG	17:45:12.42	-33:26:29.6	15.128	18.620	3.492	290.32000000	9152.9000	0.027	0.4132	52.40	112.20	1
OGLE-BLG-HB-0059	RG	17:45:32.87	-35:49:29.7	14.757	17.677	2.920	247.12400000	9053.7000	0.070	0.1294	74.90	178.84	1
OGLE-BLG-HB-0060	RG	17:45:35.01	-34:15:22.9	13.973	16.820	2.847	292.27700000	9004.2000	0.021	0.1965	51.00	84.10	1
OGLE-BLG-HB-0061	RG	17:45:46.66	-34:18:56.2	14.844	17.850	3.006	189.38300000	9070.3000	0.014	0.1891	90.00	29.40	1
OGLE-BLG-HB-0062	RG	17:45:47.53	-35:02:07.7	13.746	16.024	2.278	178.78200000	9072.2000	0.020	0.1708	76.50	21.70	1
OGLE-BLG-HB-0063	RG	17:45:49.84	-34:18:44.4	14.450	17.042	2.592	137.60800000	9095.7000	0.014	0.1871	90.00	176.00	1
OGLE-BLG-HB-0064	RG	17:45:55.00	-24:23:30.0	14.553	17.815	3.262	373.86000000	9014.6000	0.049	0.4230	88.60	67.10	1
OGLE-BLG-HB-0065	RG	17:46:03.68	-22:51:52.2	13.137	15.867	2.730	295.71600000	9293.1000	0.041	0.1968	53.73	99.90	1
OGLE-BLG-HB-0066	RG	17:46:10.91	-33:40:00.0	13.867	18.127	4.260	475.38200000	9383.3200	0.105	0.1257	47.15	158.73	1
OGLE-BLG-HB-0067	RG	17:46:20.21	-33:39:06.7	14.217	16.758	2.541	231.18500000	9126.6000	0.019	0.1712	57.90	148.70	1
OGLE-BLG-HB-0068	RG	17:46:21.45	-34:23:41.9	13.905	16.520	2.615	245.72800000	9076.2000	0.017	0.2678	69.70	107.90	1
OGLE-BLG-HB-0069	RG	17:46:23.04	-34:21:34.6	15.633	18.303	2.670	102.14500000	9009.9700	0.021	0.1690	62.00	131.10	1
OGLE-BLG-HB-0070	RG	17:46:23.74	-36:20:39.9	13.300	15.812	2.512	175.30600000	9085.2000	0.021	0.2150	63.20	179.50	1
OGLE-BLG-HB-0071	RG	17:46:29.31	-22:56:28.8	14.799	17.736	2.937	165.65100000	9045.5000	0.020	0.1510	48.90	58.40	1
OGLE-BLG-HB-0072	RG	17:46:30.32	-35:37:39.2	13.420	17.378	3.958	364.37800000	9291.0500	0.314	0.2828	89.98	94.25	1
OGLE-BLG-HB-0073	RG	17:46:40.11	-23:12:57.2	13.171	15.508	2.337	263.77600000	9121.3000	0.033	0.1344	55.00	153.80	1
OGLE-BLG-HB-0074	RG	17:46:49.96	-34:19:20.8	14.631	17.447	2.816	165.18200000	9163.8800	0.030	0.1462	65.40	110.10	1
OGLE-BLG-HB-0075	RG	17:46:51.15	-33:32:37.0	14.468	17.459	2.991	298.90800000	9090.0500	0.036	0.3537	70.40	99.30	1
OGLE-BLG-HB-0076	RG	17:46:51.19	-33:36:57.8	15.237	18.642	3.405	210.22200000	9165.2000	0.023	0.2047	63.60	91.40	1
OGLE-BLG-HB-0077	RG	17:47:00.47	-36:20:24.3	14.104	16.620	2.516	209.58500000	9042.0000	0.021	0.2070	62.00	137.10	1
OGLE-BLG-HB-0078	RG	17:47:06.70	-36:36:43.5	13.351	15.937	2.586	407.83800000	9152.8200	0.156	0.3289	74.00	124.27	0
OGLE-BLG-HB-0079	RG	17:47:07.04	-34:51:58.6	13.632	17.070	3.438	520.51400000	9440.0700	0.074	0.4508	78.40	68.61	1
OGLE-BLG-HB-0080	RG	17:47:22.96	-36:03:13.5	13.724	16.310	2.586	301.01700000	9094.7000	0.060	0.3315	74.60	107.70	1
OGLE-BLG-HB-0081	RG	17:47:32.59	-22:53:59.5	14.772	17.489	2.717	1079.11900000	9650.4200	0.108	0.8022	64.07	163.78	1
OGLE-BLG-HB-0082	RG	17:47:37.86	-23:25:02.1	13.647	16.992	3.345	287.81300000	9180.8600	0.088	0.0812	89.90	48.90	0
OGLE-BLG-HB-0083	RG	17:47:43.83	-36:47:04.9	12.636	14.891	2.255	327.70000000	9305.1000	0.054	0.2120	58.10	41.90	1
OGLE-BLG-HB-0084	RG	17:47:54.62	-34:32:38.4	13.873	17.439	3.566	370.81900000	9190.8600	0.080	0.1849	64.50	85.61	1
OGLE-BLG-HB-0085	RG	17:47:56.19	-34:11:22.0	14.325	17.738	3.413	169.79000000	9006.7700	0.019	0.1849	64.70	178.20	1
OGLE-BLG-HB-0086	RG	17:47:56.54	-33:19:33.4	13.982	18.033	4.051	427.23300000	9414.3700	0.089	0.3036	89.90	103.93	1
OGLE-BLG-HB-0087	RG	17:48:01.03	-20:21:33.8	14.372	17.733	3.361	289.81000000	9278.8000	0.038	0.2740	70.20	99.50	0
OGLE-BLG-HB-0088	RG	17:48:14.62	-23:50:54.5	13.929	18.363	4.434	438.24600000	9284.9300	0.244	0.3102	89.98	97.46	1
OGLE-BLG-HB-0089	RG	17:48:16.98	-22:37:13.2	14.902	17.914	3.012	285.32000000	9136.2000	0.028	0.2780	72.30	64.20	1
OGLE-BLG-HB-0090	RG	17:48:18.11	-33:42:08.6	13.338	16.029	2.691	349.21800000	9211.4100	0.053	0.3047	70.40	72.88	1
OGLE-BLG-HB-0091	RG	17:48:20.10	-33:31:21.8	13.887	18.315	4.428	519.42400000	9137.6000	0.081	0.2116	50.96	21.34	1
OGLE-BLG-HB-0092	RG	17:48:24.24	-23:22:25.7	13.711	16.913	3.202	257.81000000	9105.9600	0.058	0.2959	62.54	137.66	1
OGLE-BLG-HB-0093	RG	17:48:32.49	-34:55:36.7	13.632	16.971	3.339	566.86100000	9522.0900	0.073	0.4604	73.70	17.43	1
OGLE-BLG-HB-0094	RG	17:48:37.06	-23:20:51.5	14.261	17.121	2.860	238.48000000	9158.0000	0.028	0.1527	88.30	69.70	1
OGLE-BLG-HB-0095	RG	17:48:43.69	-33:29:32.5	13.894	16.995	3.101	260.31900000	9019.3000	0.034	0.1275	53.60	156.90	1
