angDist,_RAJ2000,_DEJ2000,Loc,ID,Type,RAJ2000,DEJ2000,OGLE-IV,Other,Imag,Vmag,Per,T0,Amp,e,i,omega,Var,Mod,P16,Simbad,_RAJ2000,_DEJ2000,[M2002],RAJ2000,DEJ2000,Vmag,B-V,U-B,V-R,e_Vmag,f_[M2002]
0.486381,75.1510417,-68.8935556,LMC,OGLE-LMC-HB-0057,RG,05 00 36.25,-68 53 36.8,LMC510.15.58,BRIGHT-LMC-ECL-80,14.161,15.674,302.52136774,9184.361,0.057,0.153,66.07,128.59,,1,0,Simbad,75.15108,-68.89369,47976,05 00 36.26,-68 53 37.3,15.18,1.25,,0.67,0.04," "
0.675678,75.1744583,-67.9637778,LMC,OGLE-LMC-HB-0058,RG,05 00 41.87,-67 57 49.6,LMC532.17.3991,,15.889,17.404,209.44813521,9029.056,0.047,0.1527,76.92,107.58,,1,0,Simbad,75.17471,-67.96394,48369,05 00 41.93,-67 57 50.2,17.52,1.46,,0.69,0.21," "
2.674056,75.2217917,-68.7447222,LMC,OGLE-LMC-HB-0059,RG,05 00 53.23,-68 44 41.0,LMC510.15.41039,,15.399,16.821,419.66250393,9386.2276,0.025,0.4068,62.71,128.98,,1,0,Simbad,75.21992,-68.74442,49132,05 00 52.78,-68 44 39.9,15.81,1.57,,0.55,0.07," "
2.769012,75.2217917,-68.7447222,LMC,OGLE-LMC-HB-0059,RG,05 00 53.23,-68 44 41.0,LMC510.15.41039,,15.399,16.821,419.66250393,9386.2276,0.025,0.4068,62.71,128.98,,1,0,Simbad,75.21967,-68.74472,49130,05 00 52.72,-68 44 41.0,15.87,1.35,,0.83,0.08," "
0.985264,75.4188333,-68.6446389,LMC,OGLE-LMC-HB-0060,RG,05 01 40.52,-68 38 40.7,LMC510.23.129,,15.107,16.64,320.85042678,9136.7361,0.088,0.2758,56.19,152.8,,1,1,Simbad,75.41958,-68.64467,52386,05 01 40.70,-68 38 40.8,16.07,0.59,0.11,0.43,0.06," "
0.827967,75.432,-70.0772222,LMC,OGLE-LMC-HB-0061,RG,05 01 43.68,-70 04 38.0,LMC509.14.150,,15.324,16.933,327.86764191,9124.7248,0.044,0.2677,32.86,167.25,OSARG,1,0,Simbad,75.43267,-70.07725,52591,05 01 43.84,-70 04 38.1,16.54,1.17,,0.77,0.12," "
0.764970,75.4455,-67.4878611,LMC,OGLE-LMC-HB-0062,RG,05 01 46.92,-67 29 16.3,LMC511.15.24099,,16.024,17.383,239.02788675,9059.434,0.023,0.3048,50.86,141.08,,1,0,Simbad,75.44592,-67.488,52818,05 01 47.02,-67 29 16.8,16.9,0.61,,0.37,0.13," "
0.467349,75.5874167,-69.6564167,LMC,OGLE-LMC-HB-0064,RG,05 02 20.98,-69 39 23.1,LMC509.23.25732,OGLE-LMC-ECL-05622,15.058,16.808,526.11492076,9019.3121,0.042,0.3658,77.0,79.5,ECL,1,1,Simbad,75.58779,-69.65642,55120,05 02 21.07,-69 39 23.1,17.23,1.11,,1.22,0.23," "
0.431581,75.6569167,-69.1448889,LMC,OGLE-LMC-HB-0066,RG,05 02 37.66,-69 08 41.6,LMC510.06.51213,2MASS-J05023766-6908416,14.992,16.737,532.15166507,9097.961,0.038,0.1533,58.38,45.39,OSARG,1,0,Simbad,75.65721,-69.14483,56270,05 02 37.73,-69 08 41.4,16.41,0.92,,1.07,0.12," "
0.423159,75.7194583,-67.4726667,LMC,OGLE-LMC-HB-0067,RG,05 02 52.67,-67 28 21.6,LMC511.14.23530,,15.245,16.753,371.7831509,9269.405,0.025,0.1622,63.7,60.52,,1,0,Simbad,75.71954,-67.47278,57314,05 02 52.69,-67 28 22.0,16.6,1.12,,0.76,0.08," "
1.543183,75.7244583,-69.9481667,LMC,OGLE-LMC-HB-0068,RG,05 02 53.87,-69 56 53.4,LMC509.13.28188,,15.546,17.143,315.47569833,9315.2984,0.018,0.119,62.75,62.99,,1,0,Simbad,75.72479,-69.94858,57410,05 02 53.95,-69 56 54.9,15.8,0.42,-0.19,0.51,0.06," "
0.387567,75.7788333,-70.6776667,LMC,OGLE-LMC-HB-0070,MS,05 03 06.92,-70 40 39.6,LMC508.30.21,,14.278,14.336,27.82349191,9024.0099,0.089,0.4761,28.89,89.48,ECL,0,0,Simbad,75.77879,-70.67756,58277,05 03 06.91,-70 40 39.2,14.38,-0.08,-0.94,0.1,0.02,m
1.105329,75.793125,-68.6433889,LMC,OGLE-LMC-HB-0071,MS,05 03 10.35,-68 38 36.2,LMC510.23.38,,14.648,14.486,6.21482724,9002.3327,0.023,0.1627,33.75,7.85,,1,0,Simbad,75.79371,-68.64361,58504,05 03 10.49,-68 38 37.0,14.36,-0.11,-0.82,-0.04,0.02," "
0.198805,75.9731667,-70.6697222,LMC,OGLE-LMC-HB-0075,RG,05 03 53.56,-70 40 11.0,LMC508.29.20212,OGLE-LMC-ECL-06300,15.265,16.896,474.31274627,9119.3431,0.121,0.4174,72.1,111.9,OSARG,1,1,Simbad,75.973,-70.66972,61335,05 03 53.52,-70 40 11.0,16.86,1.01,,0.76,0.14," "
0.153211,76.0963333,-70.37275,LMC,OGLE-LMC-HB-0076,RG,05 04 23.12,-70 22 21.9,LMC509.04.28801,,14.697,16.0,376.76566784,9253.2759,0.021,0.433,65.39,130.88,,1,0,Simbad,76.09646,-70.37275,63043,05 04 23.15,-70 22 21.9,15.96,1.14,,0.7,0.07," "
0.556230,76.189625,-69.2523611,LMC,OGLE-LMC-HB-0078,RG,05 04 45.51,-69 15 08.5,LMC510.05.21,EROS2-star-lm010-0l-7392,13.838,15.356,661.15062181,9477.6988,0.018,0.3895,61.47,123.37,,1,0,Simbad,76.19,-69.25244,64252,05 04 45.60,-69 15 08.8,15.27,1.45,,0.7,0.06," "
0.632834,76.27275,-70.2575278,LMC,OGLE-LMC-HB-0082,RG,05 05 05.46,-70 15 27.1,LMC509.04.28977,,15.086,16.584,449.24411032,9047.908,0.024,0.2045,70.57,24.1,OSARG,1,0,Simbad,76.27321,-70.25761,65321,05 05 05.57,-70 15 27.4,16.26,1.5,,0.51,0.08," "
2.431990,76.288,-68.8100278,LMC,OGLE-LMC-HB-0083,RG,05 05 09.12,-68 48 36.1,LMC510.12.55826,2MASS-J05050911-6848361,14.37,15.572,205.4534104,9072.2551,0.065,0.175,62.36,59.97,,1,0,Simbad,76.28858,-68.81067,65521,05 05 09.26,-68 48 38.4,14.76,1.24,,0.68,0.03," "
0.789418,76.545375,-69.8427222,LMC,OGLE-LMC-HB-0087,RG,05 06 10.89,-69 50 33.8,LMC509.20.110,EROS2-star-lm010-4m-15619,15.141,16.897,394.19183473,9092.2142,0.045,0.18,46.51,15.51,,1,0,Simbad,76.54587,-69.84286,68708,05 06 11.01,-69 50 34.3,16.52,1.71,,0.62,0.12," "
0.318536,76.5671667,-71.0879722,LMC,OGLE-LMC-HB-0088,RG,05 06 16.12,-71 05 16.7,LMC508.20.53,,15.107,16.622,278.18774963,9064.6808,0.033,0.2458,52.31,65.01,,1,0,Simbad,76.56696,-71.08803,68958,05 06 16.07,-71 05 16.9,16.77,1.33,,0.87,0.11," "
0.406416,76.6339583,-71.0228611,LMC,OGLE-LMC-HB-0091,RG,05 06 32.15,-71 01 22.3,LMC508.20.91,,15.436,16.853,302.97045866,9213.4702,0.02,0.1898,62.29,4.73,,1,0,Simbad,76.63371,-71.02294,69739,05 06 32.09,-71 01 22.6,16.9,1.29,,0.4,0.13," "
0.679874,76.639625,-69.9557222,LMC,OGLE-LMC-HB-0092,RG,05 06 33.51,-69 57 20.6,LMC509.11.29072,,15.571,17.153,478.94388079,9284.559,0.04,0.4118,68.13,91.92,,1,0,Simbad,76.64017,-69.95575,69828,05 06 33.64,-69 57 20.7,16.86,0.55,,0.5,0.17," "
0.465909,76.6554583,-70.5634444,LMC,OGLE-LMC-HB-0093,MS,05 06 37.31,-70 33 48.4,LMC508.28.22525,,14.131,14.253,19.88352982,9010.557,0.035,0.3491,13.57,111.93,,1,0,Simbad,76.65575,-70.56353,70001,05 06 37.38,-70 33 48.7,14.24,-0.04,-0.96,0.0,0.02,m
0.322956,76.6720833,-69.1011389,LMC,OGLE-LMC-HB-0094,RG,05 06 41.30,-69 06 04.1,LMC510.04.57410,,14.828,16.265,238.30657515,9009.4628,0.041,0.2467,51.65,36.12,,1,0,Simbad,76.67229,-69.10119,70182,05 06 41.35,-69 06 04.3,15.93,0.73,,0.58,0.09," "
0.935603,77.027125,-70.0172778,LMC,OGLE-LMC-HB-0106,RG,05 08 06.51,-70 01 02.2,LMC509.10.31276,,13.257,14.794,1264.71079183,9673.5873,0.033,0.4903,51.59,149.38,,1,0,Simbad,77.02787,-70.01733,74459,05 08 06.69,-70 01 02.4,14.69,1.7,2.72,0.85,0.02," "
4.742839,77.027125,-70.0172778,LMC,OGLE-LMC-HB-0106,RG,05 08 06.51,-70 01 02.2,LMC509.10.31276,,13.257,14.794,1264.71079183,9673.5873,0.033,0.4903,51.59,149.38,,1,0,Simbad,77.02771,-70.01858,74455,05 08 06.65,-70 01 06.9,14.63,1.75,,0.79,0.03," "
0.144537,77.074125,-68.6619444,LMC,OGLE-LMC-HB-0109,RG,05 08 17.79,-68 39 43.0,LMC510.20.63,EROS2-star-lm018-4l-25595,14.168,15.584,477.31926296,9468.7617,0.014,0.3978,19.12,19.29,TEO,1,0,Simbad,77.07421,-68.66197,75047,05 08 17.81,-68 39 43.1,15.4,1.1,,0.69,0.05," "
0.314144,77.0774583,-70.6277778,LMC,OGLE-LMC-HB-0110,MS,05 08 18.59,-70 37 40.0,LMC508.27.25058,OGLE-LMC-ECL-08260,16.807,17.088,7.49808883,9006.0436,0.031,0.3271,45.66,179.35,ECL,0,1,Simbad,77.07737,-70.62786,75095,05 08 18.57,-70 37 40.3,17.3,0.05,-0.01,0.47,0.2," "
1.550311,77.1927917,-69.3409722,LMC,OGLE-LMC-HB-0111,RG,05 08 46.27,-69 20 27.5,LMC509.27.46503,OGLE-LMC-ECL-08446,15.538,17.329,468.96451404,9054.6494,0.024,0.1224,69.94,44.23,ECL,0,1,Simbad,77.19379,-69.34122,76829,05 08 46.51,-69 20 28.4,17.45,0.56,,0.98,0.32," "
0.295763,77.453875,-68.8796667,LMC,OGLE-LMC-HB-0114,MS,05 09 48.93,-68 52 46.8,LMC510.10.378,,14.91,15.067,56.32956673,9026.0601,0.135,0.2672,20.86,36.19,ECL,0,0,Simbad,77.45404,-68.87961,80949,05 09 48.97,-68 52 46.6,14.19,0.31,-1.2,0.38,0.04," "
0.602374,77.5380417,-69.0055278,LMC,OGLE-LMC-HB-0116,RG,05 10 09.13,-69 00 19.9,,,16.175,17.786,323.29944461,9322.9401,0.026,0.1067,51.07,167.51,,1,0,Simbad,77.5385,-69.00556,82263,05 10 09.24,-69 00 20.0,16.19,1.72,,0.2,0.15," "
1.516750,77.5380417,-69.0055278,LMC,OGLE-LMC-HB-0116,RG,05 10 09.13,-69 00 19.9,,,16.175,17.786,323.29944461,9322.9401,0.026,0.1067,51.07,167.51,,1,0,Simbad,77.53908,-69.00533,82269,05 10 09.38,-69 00 19.2,16.54,1.01,,0.92,0.21," "
0.475156,77.6120833,-69.0776667,LMC,OGLE-LMC-HB-0118,RG,05 10 26.90,-69 04 39.6,LMC510.01.56739,MACHO--79.4898.21,13.929,15.091,303.85357437,9173.7702,0.049,0.1216,59.14,57.01,,1,0,Simbad,77.61237,-69.07775,83496,05 10 26.97,-69 04 39.9,15.16,0.85,-0.02,0.65,0.03," "
0.387161,77.6557083,-69.0536389,LMC,OGLE-LMC-HB-0120,RG,05 10 37.37,-69 03 13.1,LMC510.01.56670,2MASS-J05103732-6903127,13.176,14.801,647.43188562,9269.4799,0.058,0.1474,89.17,115.46,,1,0,Simbad,77.65596,-69.05358,84209,05 10 37.43,-69 03 12.9,14.46,1.22,0.66,0.81,0.02," "
0.307266,77.6982083,-70.1796111,LMC,OGLE-LMC-HB-0122,MS,05 10 47.57,-70 10 46.6,LMC509.09.96,UCAC2---1555512,14.799,15.025,259.47834765,9145.8198,0.097,0.4055,65.15,56.75,,1,0,Simbad,77.69846,-70.17961,84948,05 10 47.63,-70 10 46.6,15.06,0.01,-0.75,0.09,0.02," "
1.169524,77.754,-69.2402778,LMC,OGLE-LMC-HB-0124,RG,05 11 00.96,-69 14 25.0,LMC510.01.615,,15.601,17.022,282.85708801,9166.6993,0.025,0.1911,69.02,47.55,,1,0,Simbad,77.75483,-69.24014,85870,05 11 01.16,-69 14 24.5,16.83,0.49,0.45,0.71,0.15," "
0.593573,77.8152083,-69.4693889,LMC,OGLE-LMC-HB-0125,RG,05 11 15.65,-69 28 09.8,LMC503.16.63783,,14.604,16.291,487.56521728,9315.5602,0.028,0.111,89.5,45.45,,1,0,Simbad,77.81567,-69.46942,86804,05 11 15.76,-69 28 09.9,15.82,1.23,,0.67,0.05," "
0.712046,77.8948333,-69.0661389,LMC,OGLE-LMC-HB-0128,RG,05 11 34.76,-69 03 58.1,LMC503.25.86843,,13.552,15.296,924.72745558,9875.6581,0.06,0.4752,53.16,139.86,OSARG,1,0,Simbad,77.89538,-69.06617,87879,05 11 34.89,-69 03 58.2,14.85,1.22,0.81,0.79,0.03," "
0.387659,77.9060833,-68.8128333,LMC,OGLE-LMC-HB-0129,RG,05 11 37.46,-68 48 46.2,LMC510.09.54673,,15.41,17.139,447.82850539,9187.7311,0.028,0.187,87.91,131.65,,1,0,Simbad,77.90583,-68.81289,88020,05 11 37.40,-68 48 46.4,16.28,0.52,0.79,0.43,0.11," "
0.349289,78.0005417,-69.1439444,LMC,OGLE-LMC-HB-0131,RG,05 12 00.13,-69 08 38.2,LMC503.25.75602,,14.416,16.363,643.54253191,9303.4936,0.038,0.2839,55.15,17.65,OSARG,1,0,Simbad,78.00067,-69.14403,89234,05 12 00.16,-69 08 38.5,16.09,0.85,,0.95,0.11," "
1.760517,78.053125,-69.5796944,LMC,OGLE-LMC-HB-0133,RG,05 12 12.75,-69 34 46.9,LMC503.16.30,,15.354,16.981,304.57521184,9073.8756,0.045,0.1233,49.64,130.14,OSARG,1,0,Simbad,78.05371,-69.57925,89849,05 12 12.89,-69 34 45.3,17.05,0.99,,1.29,0.21," "
0.808046,78.10975,-68.76875,LMC,OGLE-LMC-HB-0136,RG,05 12 26.34,-68 46 07.5,LMC510.08.56268,,15.296,16.753,565.75080859,9435.1728,0.033,0.346,73.89,40.67,,1,0,Simbad,78.11008,-68.76894,90521,05 12 26.42,-68 46 08.2,15.04,0.39,0.2,0.14,0.09," "
1.825459,78.1228333,-69.3690833,LMC,OGLE-LMC-HB-0137,RG,05 12 29.48,-69 22 08.7,LMC503.16.25822,,15.817,17.396,237.04521424,9152.9119,0.057,0.2515,42.52,151.12,,1,0,Simbad,78.12408,-69.36883,90691,05 12 29.78,-69 22 07.8,16.37,0.61,0.04,0.38,0.14," "
0.724691,78.190375,-70.9533056,LMC,OGLE-LMC-HB-0138,RG,05 12 45.69,-70 57 11.9,LMC502.07.27387,,15.681,17.086,221.02039988,9185.8337,0.022,0.2632,45.36,31.96,,1,0,Simbad,78.18987,-70.95319,91439,05 12 45.57,-70 57 11.5,16.65,0.73,,0.62,0.12," "
1.544087,78.4270417,-68.9517222,LMC,OGLE-LMC-HB-0147,RG,05 13 42.49,-68 57 06.2,LMC503.32.40832,,16.688,17.981,204.86200248,9028.0232,0.023,0.1378,51.83,179.82,ECL,0,0,Simbad,78.42621,-68.95203,94178,05 13 42.29,-68 57 07.3,16.9,0.48,,0.84,0.27," "
0.105164,78.5202083,-69.1122778,LMC,OGLE-LMC-HB-0151,RG,05 14 04.85,-69 06 44.2,LMC503.24.28329,2MASS-J05140485-6906441,14.94,16.638,368.29166058,9028.359,0.148,0.2746,72.33,69.38,TEO,1,0,Simbad,78.52029,-69.11228,95375,05 14 04.87,-69 06 44.2,15.76,0.82,-0.3,,0.09," "
0.436115,78.671,-70.2788333,LMC,OGLE-LMC-HB-0152,RG,05 14 41.04,-70 16 43.8,LMC502.23.47959,2MASS-J05144103-7016437,13.635,15.435,593.19948198,9492.1323,0.044,0.1517,54.49,147.57,TEO,1,0,Simbad,78.67117,-70.27894,97302,05 14 41.08,-70 16 44.2,15.17,1.71,,0.92,0.04," "
0.537382,78.6846667,-69.1259444,LMC,OGLE-LMC-HB-0154,MS,05 14 44.32,-69 07 33.4,LMC503.23.91397,OGLE-LMC-ECL-10834,16.723,17.068,11.0748445,9002.3958,0.191,0.1229,89.92,68.65,ECL,0,1,Simbad,78.68508,-69.12592,97467,05 14 44.42,-69 07 33.3,15.68,0.56,0.24,0.2,0.08," "
1.622731,78.7079583,-68.9827778,LMC,OGLE-LMC-HB-0155,RG,05 14 49.91,-68 58 58.0,,,15.566,17.149,322.1674499,9059.3375,0.06,0.2609,64.33,149.66,,1,0,Simbad,78.709,-68.98303,97778,05 14 50.16,-68 58 58.9,15.41,1.1,,0.68,0.06," "
0.428395,78.7109167,-69.0857222,LMC,OGLE-LMC-HB-0157,MS,05 14 50.62,-69 05 08.6,LMC503.23.91256,OGLE-LMC-ECL-10876,15.84,15.786,6.45022953,9003.007,0.025,0.2759,52.29,160.11,ECL,0,1,Simbad,78.71125,-69.08572,97815,05 14 50.70,-69 05 08.6,15.45,0.06,-0.45,-0.11,0.07," "
