angDist,_RAJ2000,_DEJ2000,Loc,ID,Type,RAJ2000,DEJ2000,OGLE-IV,Other,Imag,Vmag,Per,T0,Amp,e,i,omega,Var,Mod,P16,Simbad,ra,dec,Umag,Bmag,Vmag,Imag,e_Umag,e_Bmag,e_Vmag,e_Imag,flag
2.732515,73.509625,-68.1210278,LMC,OGLE-LMC-HB-0023,RG,04 54 02.31,-68 07 15.7,LMC532.12.15797,,16.226,17.718,237.90719959,9078.8979,0.026,0.193,73.64,104.84,,1,0,Simbad,73.51150,-68.12132,20.155,20.062,19.800,19.732,0.176,0.063,0.056,0.099,10
3.130108,73.509625,-68.1210278,LMC,OGLE-LMC-HB-0023,RG,04 54 02.31,-68 07 15.7,LMC532.12.15797,,16.226,17.718,237.90719959,9078.8979,0.026,0.193,73.64,104.84,,1,0,Simbad,73.50730,-68.12112,20.227,20.362,19.879,19.750,0.221,0.066,0.055,0.091,10
4.524359,73.509625,-68.1210278,LMC,OGLE-LMC-HB-0023,RG,04 54 02.31,-68 07 15.7,LMC532.12.15797,,16.226,17.718,237.90719959,9078.8979,0.026,0.193,73.64,104.84,,1,0,Simbad,73.50654,-68.12052,,21.284,21.019,20.618,,0.109,0.103,0.164,0
4.994016,73.509625,-68.1210278,LMC,OGLE-LMC-HB-0023,RG,04 54 02.31,-68 07 15.7,LMC532.12.15797,,16.226,17.718,237.90719959,9078.8979,0.026,0.193,73.64,104.84,,1,0,Simbad,73.50648,-68.12177,,20.188,19.132,18.157,,0.064,0.039,0.096,0
0.522339,73.6827083,-69.0824444,LMC,OGLE-LMC-HB-0024,RG,04 54 43.85,-69 04 56.8,LMC531.20.13102,,15.598,17.149,222.29479589,9039.104,0.035,0.2889,44.94,144.91,,1,0,Simbad,73.68267,-69.08230,20.289,18.689,17.170,15.618,0.185,0.101,0.038,0.045,10
2.837601,73.6827083,-69.0824444,LMC,OGLE-LMC-HB-0024,RG,04 54 43.85,-69 04 56.8,LMC531.20.13102,,15.598,17.149,222.29479589,9039.104,0.035,0.2889,44.94,144.91,,1,0,Simbad,73.68443,-69.08294,,21.543,21.234,21.268,,0.133,0.140,0.437,0
3.110227,73.6827083,-69.0824444,LMC,OGLE-LMC-HB-0024,RG,04 54 43.85,-69 04 56.8,LMC531.20.13102,,15.598,17.149,222.29479589,9039.104,0.035,0.2889,44.94,144.91,,1,0,Simbad,73.68086,-69.08300,,22.024,21.349,20.661,,0.167,0.142,0.263,0
4.609353,73.6827083,-69.0824444,LMC,OGLE-LMC-HB-0024,RG,04 54 43.85,-69 04 56.8,LMC531.20.13102,,15.598,17.149,222.29479589,9039.104,0.035,0.2889,44.94,144.91,,1,0,Simbad,73.67913,-69.08253,20.738,20.568,20.118,19.438,0.246,0.070,0.118,0.116,10
0.233583,73.6895833,-66.3535,LMC,OGLE-LMC-HB-0025,RG,04 54 45.50,-66 21 12.6,LMC533.29.14235,,14.43,16.162,578.53707091,9125.9175,0.057,0.3711,74.57,75.6,,1,0,Simbad,73.68965,-66.35356,20.051,17.922,16.272,14.610,0.174,0.042,0.023,0.217,10
4.320416,73.6895833,-66.3535,LMC,OGLE-LMC-HB-0025,RG,04 54 45.50,-66 21 12.6,LMC533.29.14235,,14.43,16.162,578.53707091,9125.9175,0.057,0.3711,74.57,75.6,,1,0,Simbad,73.68963,-66.35470,,22.250,22.155,20.558,,0.231,0.179,0.177,0
4.590497,73.6895833,-66.3535,LMC,OGLE-LMC-HB-0025,RG,04 54 45.50,-66 21 12.6,LMC533.29.14235,,14.43,16.162,578.53707091,9125.9175,0.057,0.3711,74.57,75.6,,1,0,Simbad,73.69073,-66.35231,,21.702,21.399,,,0.215,0.137,,0
4.749720,73.6895833,-66.3535,LMC,OGLE-LMC-HB-0025,RG,04 54 45.50,-66 21 12.6,LMC533.29.14235,,14.43,16.162,578.53707091,9125.9175,0.057,0.3711,74.57,75.6,,1,0,Simbad,73.68716,-66.35439,21.533,21.238,21.185,,0.447,0.109,0.170,,0
0.284690,73.7315417,-70.7573889,LMC,OGLE-LMC-HB-0026,RG,04 54 55.57,-70 45 26.6,LMC530.10.2672,,13.916,15.416,699.97540645,9470.9009,0.021,0.4068,45.47,17.27,,0,0,Simbad,73.73177,-70.75736,17.964,16.732,15.202,13.747,0.049,0.029,0.020,0.029,10
