ID,irslope,ac
OGLE LMC-HB-0142,0.1672435196154232,-0.7429180475550081
OGLE LMC-HB-0143,-0.42510258626839076,-0.8054759859440785
OGLE LMC-HB-0144,0.04806928868128314,-0.7821530072157427
OGLE LMC-HB-0145,-0.11821628681161382,-0.8166866882361019
OGLE LMC-HB-0146,0.006727275535719377,-0.6223440925778367
OGLE LMC-HB-0147,-0.14388450310227935,-0.30734537041658555
OGLE LMC-HB-0148,0.29169788319310447,-0.3992317871812596
OGLE LMC-HB-0149,0.3091795155556081,-0.8324698707170851
OGLE LMC-HB-0150,0.2970815775834485,-0.7446651832263521
OGLE LMC-HB-0151,0.0011541226469187907,-0.7826319687689385
OGLE LMC-HB-0152,0.08811189596849457,-0.45416118928969545
OGLE LMC-HB-0153,0.10201846499570777,-0.6909265411807777
OGLE LMC-HB-0154,-1.5462056690110835,-0.008638390366980428
OGLE LMC-HB-0155,1.1036660079872909,1.395213598535517
OGLE LMC-HB-0156,0.3033801048682164,-0.8496513514084275
OGLE LMC-HB-0157,-3.8334369178947516,1.7805593791883456
OGLE LMC-HB-0158,0.021999145646437013,-0.3580577765837556
OGLE LMC-HB-0159,0.14331411241920278,-0.7855926723886213
OGLE LMC-HB-0160,0.3543119384826388,-0.7564179384804686
OGLE LMC-HB-0161,0.16223067181381717,-0.7023001394011786
OGLE LMC-HB-0162,-1.486385607900273,0.14486869382043296
OGLE LMC-HB-0163,-0.10869691848779854,-0.7771428732840261
OGLE LMC-HB-0164,0.7977112040863232,-0.49549745834370046
OGLE LMC-HB-0165,0.1703471824933562,-1.0183721070965288
OGLE LMC-HB-0166,-0.06437820882887697,-0.8213550927971937
OGLE LMC-HB-0167,-1.9906680299220796,0.21910438492358714
OGLE LMC-HB-0168,-0.34192142999841896,-0.40422545338991867
OGLE LMC-HB-0169,-0.004984704555646943,-0.9258617216329383
OGLE LMC-HB-0170,-0.1990261368100463,-0.7209005313137894
OGLE LMC-HB-0171,-0.04391022921548406,-0.9505530743148629
OGLE LMC-HB-0172,-0.3150510829201723,-0.9757108110526156
OGLE LMC-HB-0173,-0.2019619851530391,0.17134585573077693
OGLE LMC-HB-0174,-0.07351269079448446,-0.9355966300742645
OGLE LMC-HB-0175,0.062377045567041815,-0.7999836871575224
